Texas A&M,Cal State Northridge,22,3.69,-2.32,
Long Beach State,Binghamton,-8,-4.17,-2.66,
Santa Clara,Arizona,-8,2.10,11.39,
Arizona,Santa Clara,8,11.39,2.10,
Baylor,Michigan State,15,11.22,2.56,
Binghamton,Long Beach State,8,-2.66,-4.17,
Michigan State,Baylor,-15,2.56,11.22,
Miami (FL),Stanford,14,7.88,-0.62,
Iowa State,Indiana State,2,10.00,-2.81,
Stanford,Miami (FL),-14,-0.62,7.88,
Indiana State,Iowa State,-2,-2.81,10.00,
Florida State,Temple,-3,12.19,-0.59,
Seton Hall,Florida,-5,2.96,13.67,
Temple,Florida State,3,-0.59,12.19,
Iona,Drake,11,4.14,-5.36,
Drake,Iona,-11,-5.36,4.14,
Portland,Dayton,-10,-5.93,11.27,
Dayton,Portland,10,11.27,-5.93,
Old Dominion,St. John's (NY),8,3.27,0.63,
St. John's (NY),Old Dominion,-8,0.63,3.27,
North Florida,North Dakota,1,-1.13,7.96,
North Dakota,North Florida,-1,7.96,-1.13,
North Carolina-Wilmington,Middle Tennessee,-5,10.52,10.93,
Sacred Heart,Norfolk State,2,-3.14,-1.96,
Norfolk State,Sacred Heart,-2,-1.96,-3.14,
Middle Tennessee,North Carolina-Wilmington,5,10.93,10.52,
Alabama State,Northern Arizona,-14,-7.64,-7.81,
Northern Arizona,Alabama State,14,-7.81,-7.64,
Virginia Tech,Texas A&M,-3,5.19,3.69,
Texas A&M,Virginia Tech,3,3.69,5.19,
UCLA,Nebraska,11,16.56,-0.15,
Nebraska,UCLA,-11,-0.15,16.56,
Washington,Western Kentucky,39,-3.11,-3.81,
Wichita State,Michigan State,-5,19.34,2.56,
Michigan State,Wichita State,5,2.56,19.34,
West Virginia,Temple,-4,18.85,-0.59,
Iona,Weber State,22,4.14,7.92,
Western Kentucky,Washington,-39,-3.81,-3.11,
Temple,West Virginia,4,-0.59,18.85,
Weber State,Iona,-22,7.92,4.14,
Seton Hall,Quinnipiac,11,2.96,-5.04,
Santa Clara,Vanderbilt,-10,2.10,1.81,
Quinnipiac,Seton Hall,-11,-5.04,2.96,
Vanderbilt,Santa Clara,10,1.81,2.10,
Savannah State,St. Francis (NY),-6,-8.24,-11.69,
Texas-Rio Grande Valley,Grambling,8,-3.61,-3.70,
Grambling,Texas-Rio Grande Valley,-8,-3.70,-3.61,
Stetson,Radford,-14,-4.77,-5.14,
Indiana State,Stanford,-3,-2.81,-0.62,
St. Francis (NY),Savannah State,6,-11.69,-8.24,
Radford,Stetson,14,-5.14,-4.77,
Stanford,Indiana State,3,-0.62,-2.81,
Mercer,East Carolina,4,2.75,-1.63,
East Carolina,Mercer,-4,-1.63,2.75,
Toledo,Evansville,4,3.19,1.76,
Evansville,Toledo,-4,1.76,3.19,
Drake,UC-Davis,-6,-5.36,1.59,
Florida,Gonzaga,-5,13.67,23.71,
Florida A&M,Georgia Southern,-11,-6.92,4.52,
Gonzaga,Florida,5,23.71,13.67,
